Response-comparison identifier,Source dataset identifier,Study identifier,Accessions or lines assessed (n),Accessions or lines on the Pareto front (n),Endpoints compared (n),Disease count,Endpoints compared,Use in identifying candidates,Rationale
pareto_ethiopia_subset_2022_anthracnose_years,prom_ethiopia_anthracnose_subset_2022,prom_ethiopia_anthracnose_subset_2022,47,29,2,1,2019; 2020,Used to identify candidates,The comparison used one numeric score from each of 2019 and 2020 for 47 accessions; source-reported replicate scores provided the underlying yearly detail.
pareto_ethiopian_field_anthracnose_locations,ethiopian_field_anthracnose_multisite,ethiopian_field_anthracnose_multisite,357,11,4,1,Bako 2020 2021 combined; Jimma 2020 2021 combined; Asosa 2020 2021 combined; Haramaya 2021 2022 combined,Descriptive comparison,"The comparison used combined-year measurements from Bako, Jimma, Asosa, and Haramaya; the overall mean summarized performance across those locations."
pareto_four_country_2012_anthracnose_environments,prom_four_country_anthracnose_2012,prom_four_country_anthracnose_2012,40,2,3,1,Texas 2007; Texas 2008; Puerto Rico,Used to identify candidates,"The comparison used one score from each of Texas 2007, Texas 2008, and Puerto Rico for 40 accessions; source-reported replicate scores provided the environment-level detail."
pareto_girma_head_smut_years,ref_girma_ethiopian_head_smut_2019,ref_girma_ethiopian_head_smut_2019,1252,841,2,1,2015; 2016,Descriptive comparison,Descriptive two-year trade-off using the original scores; the study used nonreplicated single-row field screening
pareto_hess_mali_anthracnose_organs,ref_hess_mali_anthracnose_2002,ref_hess_mali_anthracnose_2002,19,3,4,1,Foliar severity; Foliar AUDPC; Panicle severity; Grain severity,Descriptive comparison,"The comparison used pooled foliar severity, foliar AUDPC, panicle severity, and grain severity in a resistance-enriched 19-line panel; source-reported transformed values and checks supported interpretation of those measurements."
pareto_koima_field_anthracnose_locations,ref_koima_kenya_anthracnose_2023,ref_koima_kenya_anthracnose_2023_field,11,1,4,1,Kiboko short season 2020; Kiboko long season 2021; Ithookwe short season 2020; Ithookwe long season 2021,Descriptive comparison,"The comparison used measurements from Kiboko and Ithookwe in the reported short and long seasons; the overall mean summarized performance across those location-season measurements."
pareto_mali_2004_anthracnose_seasons,prom_mali_anthracnose_2004,prom_mali_anthracnose_2004,247,211,2,1,Dry; Wet,Used to identify candidates,The comparison used dry- and wet-season ratings for breeding accessions; seed-lot duplicates and controls characterized additional source observations.
pareto_mengistu_anthracnose_endpoints,ref_mengistu_ethiopia_anthracnose_2021,ref_mengistu_ethiopia_anthracnose_2021,365,2,2,1,Final severity; Relative AUDPC,Descriptive comparison,Descriptive endpoint comparison across all reported germplasm roles
pareto_mexico_us_ergot_locations,prom_ergot_severity_mexico_us_2008,prom_ergot_severity_mexico_us_2008,9,1,3,1,Celaya; College Station; Rio Bravo,Descriptive comparison,"The comparison used Celaya, College Station, and Rio Bravo values as three objectives for nine genotypes selected from prior reaction information; the overall mean summarized performance across locations."
pareto_mozambique_2006_anthracnose_seasons,prom_mozambique_anthracnose_2006,prom_mozambique_anthracnose_2006,14,12,2,1,Dry; Wet,Used to identify candidates,Dry- and wet-season ratings compared among accessions with recorded severity values.
pareto_nioro_2018_long_smut_grain_mold,prom_us_lines_long_smut_grain_mold_2018,prom_us_lines_long_smut_grain_mold_2018,29,3,2,2,Long smut; Grain mold,Used to identify candidates,The comparison used Nioro long-smut incidence and grain-mold severity as the two objectives.
pareto_panelA_three_diseases,panelA_pr_multidisease,panelA_pr_2017_2018,108,2,3,3,Anthracnose; Grain mold; Rust,Used to identify candidates,Three disease means reported for the Puerto Rico study.
pareto_panelB_leaf_blight_endpoints,panelB_wa_leafblight,panelB_senegal_2022,99,2,2,1,Incidence; Severity,Used to identify candidates,Two leaf-blight measurements reported for the field study.
pareto_prom_2026_grain_mold_panicle_and_threshed,prom_agronomic_grain_mold_senegal_2026,prom_agronomic_grain_mold_senegal_2026,24,4,2,1,Intact panicle rating; Threshed grain rating,Used to identify candidates,The two pooled grain-mold ratings summarize a trade-off between endpoints for the same disease in 24 cultivars or lines. The comparison uses the pooled ratings reported by the source.
pareto_ql3_is18760_ril_field_locations,prom_ql3_is18760_anthracnose_inheritance_2021,prom_ql3_is18760_anthracnose_inheritance_2021,210,2,2,1,Texas; Puerto Rico,Used to identify candidates,The comparison used published field least-squares means from Texas and Puerto Rico across two recombinant-inbred-line populations; the 43-line greenhouse pathotype subset characterized responses within those populations.
pareto_sap_head_smut_p5_p6_2017,prom_sap_head_smut_p5_p6_2021,prom_sap_head_smut_p5_p6_2017,29,3,2,1,P5; P6,Used to identify candidates,P5 and P6 incidence were the two objectives for the 2017 head-smut comparison.
pareto_sap_head_smut_p5_p6_2018,prom_sap_head_smut_p5_p6_2021,prom_sap_head_smut_p5_p6_2018,38,17,2,1,P5; P6,Used to identify candidates,P5 and P6 incidence were the two objectives for the 2018 head-smut comparison.
pareto_sc112_ril_anthracnose_locations,prom_sc112_ril_anthracnose_2020,prom_sc112_ril_anthracnose_2020,100,3,4,1,Florida; Isabela; Texas; Tifton,Used to identify candidates,"The comparison used measurements from Florida, Isabela, Texas, and Tifton; the overall mean summarized performance across those locations."
pareto_senegal_seed_quality,prom_senegal_seed_quality_2018,prom_senegal_seed_quality_2018,129,7,3,2,Germination; Seed mold; Anthracnose,Used to identify candidates,"The comparison used published least-squares means for germination, seed mold, and anthracnose as three objectives."
pareto_sharma_full_anthracnose_years,ref_sharma_minicore_foliar_diseases_2012,ref_sharma_minicore_foliar_diseases_2012,243,1,2,1,Anthracnose 2009; Anthracnose 2010,Descriptive comparison,"The comparison used the two anthracnose-year means printed in the article for all 243 accessions recovered from the workbook. Both papers report 242 accessions, whereas the workbook lists 243; its decimal estimate provides an additional source value."
pareto_sharma_resistance_selected_subset,ref_sharma_minicore_foliar_diseases_2012,ref_sharma_minicore_foliar_diseases_2012,38,8,5,3,Anthracnose 2009; Anthracnose 2010; Leaf blight 2009; Leaf blight 2010; Rust greenhouse,Descriptive comparison,Descriptive trade-off within the 38 accessions selected by the article for resistance to at least one disease; the reported frequencies describe this selected subset
pareto_sudan_2009_grain_mold_measurements,prom_sudan_grain_mold_sources_2009,prom_sudan_grain_mold_sources_2009,59,2,3,1,Field severity; Threshed seed severity; Germination,Used to identify candidates,"The comparison used field severity, threshed-seed severity, and germination as three objectives."
pareto_sudan_anthracnose_locations,prom_sudan_anthracnose_2020,prom_sudan_anthracnose_2020,57,46,3,1,Isabela 2014; Mayaguez 2016; Isabela 2017,Used to identify candidates,"The comparison used measurements from Isabela in 2014 and 2017 and Mayaguez in 2016; the overall mean summarized those three location-year measurements."
pareto_sudan_grain_mold_endpoints,prom_sudan_grain_mold_2024,prom_sudan_grain_mold_2024,246,5,2,1,Emergence; Deterioration,Used to identify candidates,The comparison used source-reported emergence and deterioration means as the two objectives.
pareto_sweet_anthracnose_locations,prom_sweet_anthracnose_2023,prom_sweet_anthracnose_2023,223,27,4,1,Texas; Puerto Rico; Georgia; Florida,Used to identify candidates,"The comparison used measurements from Texas, Puerto Rico, Georgia, and Florida; the overall mean summarized performance across those locations."
pareto_tesso_2008_fusarium_stalk_rot_measurements,ref_tesso_fusarium_stalk_rot_2009,ref_tesso_fusarium_stalk_rot_2009_validation_2008,59,3,2,1,Lesion length; Nodes crossed,Descriptive comparison,Descriptive comparison of lesion length and nodes crossed in the 2008 screen; both are measurements of one Fusarium stalk-rot process.
pareto_uganda_downy_mildew_locations_2016,prom_uganda_downy_mildew_2019,prom_uganda_downy_mildew_2019,98,1,2,1,Abi zardi; Muarik,Used to identify candidates,The comparison used original incidence percentages from Abi Zardi and Muarik as the two objectives; angular transformations and derived disease-progress measures supported additional source analyses.
pareto_weather_anthracnose_2009_crop_phases,prom_weather_anthracnose_genotypes_2015,prom_weather_anthracnose_genotypes_2015,45,19,2,1,Dry original crop; Wet regrowth crop,Used to identify candidates,The comparison used replicate ratings reported for the original and regrowth crops within one experiment.
